no_secandary_viens,height/width_ratio,base_angel,class_0,class_1,class_2
22,3.204081633,62,1,0,0
17,2.885714286,63,1,0,0
22,2.645669291,80,1,0,0
17,2.711538462,73,1,0,0
17,2.457142857,71,1,0,0
19,2.939759036,63,1,0,0
21,3.096153846,75,1,0,0
20,2.406015038,105,1,0,0
17,2.828282828,73,1,0,0
22,2.72,90,1,0,0
20,3.085106383,60,1,0,0
19,2.711111111,72,1,0,0
22,2.788461538,63,1,0,0
17,2.68627451,71,1,0,0
22,3.307692308,75,1,0,0
17,2.288461538,85,1,0,0
24,2.578947368,83,1,0,0
22,2.086956522,90,1,0,0
19,2.579439252,70,1,0,0
17,2.581395349,78,1,0,0
17,2.196969697,77,1,0,0
23,3.181818182,73,1,0,0
20,2.16,82,1,0,0
17,2.865384615,74,1,0,0
19,2.446808511,85,1,0,0
16,1.898305085,109,1,0,0
16,2.590909091,65,1,0,0
22,2.918367347,76,1,0,0
12,2.41025641,70,1,0,0
17,3.104166667,70,1,0,0
17,2.682926829,79,1,0,0
19,3.272727273,69,1,0,0
22,2.639344262,76,1,0,0
31,4.12195122,20,0,1,0
29,3.723404255,21,0,1,0
29,4.11627907,23,0,1,0
30,3.928571429,22,0,1,0
32,3.974358974,30,0,1,0
25,4.05,24,0,1,0
23,3.973684211,31,0,1,0
28,4.447368421,17,0,1,0
26,4.275,22,0,1,0
24,4.08,23,0,1,0
27,4.297297297,24,0,1,0
28,3.714285714,26,0,1,0
28,3.627906977,28,0,1,0
28,3.808510638,22,0,1,0
24,4.194444444,27,0,1,0
26,4.323529412,52,0,1,0
28,4.023255814,27,0,1,0
25,4.105263158,25.5,0,1,0
27,3.911111111,21,0,1,0
32,3.942857143,30,0,1,0
32,3.702702703,35,0,1,0
27,3.864864865,36,0,1,0
27,4.056338028,32,0,1,0
25,3.395833333,23,0,1,0
25,3.96875,38,0,1,0
22,4.23880597,26,0,1,0
25,3.948051948,29,0,1,0
30,4.121212121,27,0,1,0
25,4.266666667,37,0,1,0
27,4.2,35,0,1,0
30,4.0625,26,0,1,0
26,4.371428571,19,0,1,0
21,3.774647887,30,0,1,0
24,4.170731707,22,0,1,0
25,4.256410256,26,0,1,0
55,1.852941176,65,0,0,1
49,2.111111111,62,0,0,1
52,2.052631579,59,0,0,1
45,1.972972973,63,0,0,1
57,1.837209302,68,0,0,1
51,1.574468085,74,0,0,1
49,2.025641026,67,0,0,1
62,2.076923077,69,0,0,1
53,1.973684211,61,0,0,1
55,1.921052632,71,0,0,1
55,1.782608696,65,0,0,1
45,1.885714286,64,0,0,1
53,1.847826087,68,0,0,1
44,2.025641026,73,0,0,1
57,1.833333333,63,0,0,1
57,1.837209302,67,0,0,1
61,1.733333333,79,0,0,1
58,1.844444444,80,0,0,1
51,1.976190476,65,0,0,1
51,1.675,65,0,0,1
58,1.681818182,85,0,0,1
68,1.976190476,65,0,0,1
59,1.880952381,61,0,0,1
57,1.744186047,66,0,0,1
62,1.844444444,65,0,0,1
48,1.743589744,72,0,0,1
55,1.837209302,71,0,0,1
56,1.894736842,65,0,0,1
51,1.888888889,63,0,0,1
48,1.756097561,72,0,0,1
59,1.886379449,61,0,0,1
44,2.023778493,73,0,0,1
